Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
18CZ,6.088,7.71,719,N/A,2017,4.25,2,6,250,250,12,Strategy,N/A
P.I.,6.088,6.7,1948,N/A,2012,2.25,2,5,45,60,13,Family,N/A
Volfyirion,6.087,7.3,1143,N/A,2019,2.24,1,2,15,30,14,Strategy,N/A
Constantinopolis,6.087,6.87,1562,39.95,2010,3.12,2,5,90,90,12,Strategy,N/A
Würfel Bohnanza,6.087,6.64,2151,N/A,2012,1.30,2,5,45,45,10,Family,N/A
Freshwater Fly,6.087,7.19,1137,49.99,2019,2.42,1,4,40,90,14,Strategy,N/A
Verräter,6.087,6.68,1981,N/A,1998,2.57,3,4,60,60,12,Strategy,N/A
Twixt,6.087,6.6,2540,104.90,1962,2.49,2,4,30,30,12,Abstract,N/A
Amsterdam,6.087,7.91,656,N/A,2022,3.50,1,4,60,120,12,Strategy,N/A
Mystery Express,6.087,6.56,2583,N/A,2010,2.66,3,5,60,90,12,Family,N/A
Exit: The Game – The House of Riddles,6.086,6.87,1508,14.23,2017,1.61,1,4,45,90,10,Thematic,N/A
Tybor the Builder,6.086,6.95,1341,N/A,2017,2.11,2,4,30,30,8,Strategy,N/A
Wiz-War,6.086,6.87,1642,N/A,1983,1.98,2,4,60,60,10,Thematic,N/A
Zapotec,6.086,7.26,1007,43.99,2022,3.06,1,4,60,75,12,Strategy,N/A
Unlock!: Legendary Adventures,6.086,7.57,774,36.99,2021,2.20,1,6,60,60,10,N/A,N/A
Big Trouble in Little China: The Game,6.085,7.67,859,N/A,2018,2.94,1,4,60,120,14,Thematic,N/A
The End of the Triumvirate,6.085,6.78,1633,N/A,2005,2.74,2,3,60,90,10,Strategy,N/A
Kneipenquiz: Das Original,6.085,7.41,866,N/A,2016,1.50,3,6,30,40,12,Party,N/A
Relic Runners,6.084,6.6,2341,99.99,2013,2.11,2,5,40,80,10,Family,N/A
The Game: Face to Face,6.084,7.1,1131,N/A,2017,1.25,2,2,20,20,8,Family,N/A
A la carte,6.084,6.46,3270,N/A,1989,1.30,2,4,30,30,8,Family,N/A
Versailles 1919,6.084,7.54,810,83.57,2020,2.93,1,4,60,120,13,Strategy,Wargames
Zona: The Secret of Chernobyl,6.084,7.39,1130,N/A,2019,2.77,1,4,120,180,18,Thematic,N/A
